CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8001","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","1100-1150","LUTR 139","Hutt, Melvyn","2","Open",
"8002","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MW","1600-1715","LUTR 139","Hutt, Melvyn","2","Open",
"8012","ACCT 201","11","Prin of Account I: Financial","3","","Lec","TR","1500-1615","LUTR 170","Morris, Joseph","1","Open",
"8003","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MW","1600-1715","LUTR 264","Morris, Joseph","3","Open",
"8004","ACCT 201","3","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 170","Lingenfelter, Gabriele","0","Closed",
"8005","ACCT 201","4","Prin of Account I: Financial","3","","Lec","MWF","1000-1050","LUTR 170","Brooks, Abby-Gayle","0","Closed",
"8006","ACCT 201","5","Prin of Account I: Financial","3","","Lec","MWF","1100-1150","LUTR 170","Brooks, Abby-Gayle","0","Closed",
"8007","ACCT 201","6","Prin of Account I: Financial","3","","Lec","MWF","1200-1250","LUTR 139","Lingenfelter, Gabriele","0","Closed",
"8008","ACCT 201","7","Prin of Account I: Financial","3","","Lec","MWF","1300-1350","LUTR 137","Hutt, Melvyn","1","Open",
"8009","ACCT 201","8","Prin of Account I: Financial","3","","Lec","MWF","1400-1450","LUTR 137","Hutt, Melvyn","1","Open",
"8010","ACCT 201","9","Prin of Account I: Financial","3","","Lec","TR","1330-1445","LUTR 242","Morris, Joseph","4","Open",
"8014","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 142","Carpenter, Cornell","1","Open",
"8015","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","TR","1800-1915","LUTR 142","Carpenter, Cornell","1","Open",
"8016","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1100-1215","MCM 357","Frucot, Veronique","0","Closed",
"8017","ACCT 301","2","Intermediate Accounting I","3","","Lec","TR","1500-1615","LUTR 264","Frucot, Veronique","0","Closed",
"8018","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","1300-1350","LUTR 139","Brooks, Abby-Gayle","9","Open",
"8020","ACCT 303","1","Cost/Managerial Accounting","3","","Lec","TR","1100-1215","LUTR 242","Chung, Keun Ho","1","Open",
"8021","ACCT 401","1","Taxation","3","","Lec","MW","1800-1915","LUTR 264","Morris, Joseph","0","Closed",
"8022","ACCT 405","1","Auditing","3","","Lec","MWF","0800-0850","LUTR 347","Lingenfelter, Gabriele","0","Closed",
"8023","ACCT 405","2","Auditing","3","","Lec","MWF","0900-0950","LUTR 347","Espahbodi, Reza","9","Open",
"8019","ACCT 406","1","WI:Case Studies in Accounting","3","  WI","Lec","MWF","1400-1450","LUTR 139","Brooks, Abby-Gayle","1","Open",
"8024","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","TR","0930-1045","MCM 357","Frucot, Veronique","1","Open",
"9238","AMST 100","10M","The American Experiment","3","  AIDE  ","Lec","MWF","1100-1150","MCM 260","Garmon, Frank","1","Open",
"8384","AMST 100","2R","The American Experiment","3","  AIDE  ","Lec","MWF","0900-0950","LUTR 139","Garmon, Frank","0","Closed",
"8385","AMST 100","3M","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 207","White, William","0","Closed",
"8386","AMST 100","4R","The American Experiment","3","  AIDE  ","Lec","MWF","1000-1050","MCM 112","Kaufer Busch, Elizabeth","1","Open",
"8387","AMST 100","5M","The American Experiment","3","  AIDE  ","Lec","TR","1500-1615","MCM 101","White, Jonathan","4","Open",
"8388","AMST 100","6M","The American Experiment","3","  AIDE  ","Lec","MWF","1300-1350","MCM 164","Colby, Robert","3","Open",
"8389","AMST 100","7R","The American Experiment","3","  AIDE  ","Lec","MWF","1500-1550","MCM 307","Colby, Robert","3","Open",
"8390","AMST 100","8R","The American Experiment","3","  AIDE  ","Lec","MW","1800-1915","MCM 112","Mosvick, Nicholas","3","Open",
"8391","AMST 100","9M","The American Experiment","3","  AIDE  ","Lec","MW","1930-2045","MCM 112","Asalone, Ryan","3","Open",
"8394","AMST 120","1M","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1100-1215","MCM 207","White, Jonathan","2","Open",
"8392","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","TR","1330-1445","MCM 200C","Morrison, Jeffry","1","Open",
