CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8013","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0800-0850","LUTR 139","Williams, LaMonte","24","Open",
"8014","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MWF","1400-1450","LUTR 142","Walker, George","24","Open",
"8015","ACCT 201","2","Prin of Account I: Financial","3","","Lec","TR","1630-1745","LUTR 139","Jefferson, Yolanda","19","Open",
"8016","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","MWF","0900-0950","LUTR 170","Espahbodi, Reza","24","Open",
"8017","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","MWF","1300-1350","LUTR 142","Walker, George","19","Open",
"8018","ACCT 202","3","Prin of Account II: Managerial","3","","Lec","MW","1800-1915","LUTR 139","Staff, CNU","24","Open",
"8019","ACCT 202","4","Prin of Account II: Managerial","3","","Lec","MWF","1200-1250","LUTR 170","Espahbodi, Reza","24","Open",
"8020","ACCT 202","5","Prin of Account II: Managerial","3","","Lec","MWF","1300-1350","LUTR 170","Espahbodi, Reza","24","Open",
"8022","ACCT 202","7","Prin of Account II: Managerial","3","","Lec","MWF","1000-1050","LUTR 139","Walker, George","24","Open",
"8023","ACCT 202","8","Prin of Account II: Managerial","3","","Lec","MWF","1100-1150","LUTR 139","Walker, George","24","Open",
"8024","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1330-1445","LUTR 139","Frucot, Veronique","15","Open",
"8025","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","1000-1050","LUTR 137","Kugel, Jonathan","18","Open",
"8026","ACCT 302","2","Intermediate Accounting II","3","","Lec","MWF","1300-1350","LUTR 137","Kugel, Jonathan","18","Open",
"8027","ACCT 303","1","Cost/Managerial Accounting","3","","Lec","TR","1800-1915","LUTR 137","Chung, Keun Ho","15","Open",
"8028","ACCT 303","2","Cost/Managerial Accounting","3","","Lec","TR","1930-2045","LUTR 137","Chung, Keun Ho","15","Open",
"8029","ACCT 402","1","Advanced Taxation","3","","Lec","T","1800-2045","LUTR 139","Paige, Vivian","15","Open",
"8030","ACCT 404","1","Volunteer Income Tax Assist","1","","Int","","","ARR ","Paige, Vivian","0","Closed",
"8031","ACCT 405","1","Auditing","3","","Lec","MWF","1400-1450","LUTR 137","Kugel, Jonathan","12","Open",
"8032","ACCT 406","1","WI:Case Studies in Accounting","3","  WI","Lec","MW","1600-1715","LUTR 131","Paige, Vivian","15","Open",
"8033","ACCT 406","2","WI:Case Studies in Accounting","3","  WI","Lec","MW","1800-1915","LUTR 170","Paige, Vivian","19","Open",
"8034","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","TR","1100-1215","LUTR 264","Frucot, Veronique","12","Open",
"8941","AMST 100","2","The American Experiment","3","  AIDE  ","Lec","MWF","1300-1350","MCM 212","Garmon, Frank","34","Open",
"8942","AMST 100","3","The American Experiment","3","  AIDE  ","Lec","MW","1600-1715","MCM 212","Morrison, Jeffry","24","Open",
"8943","AMST 100","4","The American Experiment","3","  AIDE  ","Lec","TR","1100-1215","MCM 310","Colby, Robert","34","Open",
"8944","AMST 100","5","The American Experiment","3","  AIDE  ","Lec","TR","1500-1615","MCM 310","Colby, Robert","34","Open",
"8945","AMST 100","6","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 314","White, William","19","Open",
"8947","AMST 100","7","The American Experiment","3","  AIDE  ","Lec","TR","1930-2045","MCM 314","White, William","19","Open",
"8949","AMST 120","1","Encounters w/ the Constitution","3","  AIDE","Lec","TR","0930-1045","MCM 310","White, Jonathan","34","Open",
"8950","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","TR","1100-1215","MCM 257","Morrison, Jeffry","24","Open",
"8952","AMST 200","2","Evolution-American Experiment","3","  AIWT","Lec","TR","1500-1615","MCM 307","Morrison, Jeffry","19","Open",
"8956","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","TR","1930-2045","MCM 164","McCarthy, William","24","Open",
"9200","AMST 395","1","SPC TP:American Entreprnrship","3","","Lec","MWF","1100-1150","MCM 260","Garmon, Frank","19","Open",
"8959","AMST 490","1","WI: Capstone Sem-Amer Studies","3","  WI","Lec","TR","1330-1445","MCM 300B","White, Jonathan","15","Open",
"8364","ANTH 200","1","Human Adaptation","3","  AINW","Lec","TR","1330-1445","LUTR 121","Loy, Christopher","99","Open",
"8365","ANTH 203","1","Cultural Anthropology","3","  AIGM","Lec","TR","1100-1215","LUTR 170","Palmer, Seth","35","Open",
"8366","ANTH 325","1","Food and Culture","3","  AIGM","Lec","MW","1600-1715","LUTR 167","Timmer, Andria","9","Open",
"8367","ANTH 325","2","Food and Culture","3","  AIGM","Lec","MW","1800-1915","LUTR 167","Timmer, Andria","9","Open",
"8368","ANTH 331","1","Environment, Culture &amp; Society","3","","Lec","MWF","1400-1450","FERG 221","Loy, Christopher","19","Open",
"8369","ANTH 377","1","Gender and Power","3","  AIGM","Lec","TR","1630-1745","TRIB 208","Palmer, Seth","9","Open",
"8370","ANTH 377","2","Gender and Power","3","  AIGM","Lec","TR","1800-1915","TRIB 208","Palmer, Seth","9","Open",
"8371","ANTH 388","1","Field Exploration in ANTH/GEOG","3","","Lec","MWF","1000-1050","LUTR 167","Timmer, Andria","10","Open",
"9011","ARAB 102","1","Beginning Arabic II","3","","Lec","MWF","1000-1050","MCM 300D","Obeid, Diana","15","Open",
"9012","ARAB 102","2","Beginning Arabic II","3","","Lec","MWF","1200-1250","FERG 207","Obeid, Diana","15","Open",
"9013","ARAB 202","1","Intermediate Arabic II","3","  LLFL","Lec","MWF","1300-1350","FERG 207","Obeid, Diana","19","Open",
"8469","BCHM 410","1","Medical Biochemistry","3","","Lec","MWF","1100-1150","FORBES 1022","Cole, Kathryn","59","Open",
"8471","BCHM 415","1","Biochemistry II","3","","Lec","MWF","0900-0950","FORBES 2015","Cole, Kathryn","48","Open",
"8472","BCHM 415L","1","Biochemistry II Lab","1","","Lab","F","1300-1650","FORBES 1015","Thorsen, Amanda","24","Open",
"8488","BIOL 108","1","General Biology II","3","  AINW","Lec","TR","1800-1915","LUTR 121","Waldien, David","95","Open",
